      0.90	      1.12	      2.35	      0.13
      0.91	      1.14	      2.48	      0.15
      0.92	      1.17	      2.63	      0.19
      0.93	      1.19	      2.82	      0.24
      0.94	      1.22	      3.06	      0.32
      0.95	      1.25	      3.38	      0.45
      0.96	      1.29	      3.82	      0.70
      0.97	      1.33	      4.52	      1.36
      0.98	      1.37	      5.88	      8.11
      0.99	      1.43	     13.99	       nan
      1.00	      1.57	       nan	       nan
